title,hasCited
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Temporal Ensemble of Shape Functions.
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,3D Sketch-Based 3D Shape Retrieval.
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,RGB-D to CAD Retrieval with ObjectNN Dataset.
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,An Evaluation of Local Feature Encodings for Shape Retrieval.
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Matching of Deformable Shapes with Topological Noise.
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,3D shape template generation from RGB-D images capturing a moving and deforming object.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,An Evaluation of Local Feature Encodings for Shape Retrieval.
Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.,EAR - ECC-aided refresh reduction through 2-D zero compression.
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,3D Volume Matching for Mesh Animation of Moving Actors.
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
High productivity thermal compression bonding for 3D-IC.,Shape Retrieval and 3D Gestural Interaction.
High productivity thermal compression bonding for 3D-IC.,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
3D integration - Applications and market trends.,Performing Image-like Convolution on Triangular Meshes.
3D integration - Applications and market trends.,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
3D system integration research at IMEC.,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
3D system integration research at IMEC.,Extended Large Scale Sketch-Based 3D Shape Retrieval.
3D system integration research at IMEC.,Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.
3D system integration research at IMEC.,Data motifs - a lens towards fully understanding big data and AI workloads.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,3D Volume Matching for Mesh Animation of Moving Actors.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Protein Shape Retrieval.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Scalability of Non-Rigid 3D Shape Retrieval.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Retrieval and Classification on Textured 3D Models.
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Transactional pre-abort handlers in hardware transactional memory.
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Semantic Correspondence Across 3D Models for Example-based Modeling.
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Range Scans based 3D Shape Retrieval.
Copper micro and nano particles mixture for 3D interconnections application.,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Copper micro and nano particles mixture for 3D interconnections application.,EAR - ECC-aided refresh reduction through 2-D zero compression.
Copper micro and nano particles mixture for 3D interconnections application.,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Copper micro and nano particles mixture for 3D interconnections application.,Data motifs - a lens towards fully understanding big data and AI workloads.
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,Temporal Ensemble of Shape Functions.
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,Retrieval and Classification on Textured 3D Models.
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,Shape Retrieval and 3D Gestural Interaction.
Computing in 3D.,EAR - ECC-aided refresh reduction through 2-D zero compression.
Retrieval and Classification on Textured 3D Models.,Protein Shape Retrieval.
Retrieval and Classification on Textured 3D Models.,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Retrieval and Classification on Textured 3D Models.,Copper micro and nano particles mixture for 3D interconnections application.
Retrieval and Classification on Textured 3D Models.,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Retrieval and Classification on Textured 3D Models.,2D Image-Based 3D Scene Retrieval.
3D Volume Matching for Mesh Animation of Moving Actors.,Shape Retrieval of Non-Rigid 3D Human Models.
3D Volume Matching for Mesh Animation of Moving Actors.,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
3D Volume Matching for Mesh Animation of Moving Actors.,Partial Shape Queries for 3D Object Retrieval.
3D Volume Matching for Mesh Animation of Moving Actors.,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
3D Volume Matching for Mesh Animation of Moving Actors.,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,Non-uniform resampling in perspective compensated large scale 3D visualization.
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,Copper micro and nano particles mixture for 3D interconnections application.
Temporal Ensemble of Shape Functions.,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Temporal Ensemble of Shape Functions.,Cost-driven thread coarsening for GPU kernels.
GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.,Directed Curvature Histograms for Robotic Grasping.
Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.,Performing Image-like Convolution on Triangular Meshes.
TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Automatic Location of Landmarks used in Manual Anthropometry.,Maximizing system utilization via parallelism management for co-located parallel applications.
Automatic Location of Landmarks used in Manual Anthropometry.,Shadow Detection on 3D Point Cloud.
Automatic Location of Landmarks used in Manual Anthropometry.,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Retrieval of Gray Patterns Depicted on 3D Models.
Extended Large Scale Sketch-Based 3D Shape Retrieval.,3D system integration research at IMEC.
Large Scale Comprehensive 3D Shape Retrieval.,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Large Scale Comprehensive 3D Shape Retrieval.,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Large Scale Comprehensive 3D Shape Retrieval.,Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.
Large Scale Comprehensive 3D Shape Retrieval.,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.,Protein Shape Retrieval.
Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.,Retrieval of Gray Patterns Depicted on 3D Models.
Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.,Recognition of Geometric Patterns Over 3D Models.
Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.,GMOD - a dynamic GPU memory overflow detector.
Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.,Architectural support for convolutional neural networks on modern CPUs.
The Canonically Posed 3D Objects Dataset.,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
The Canonically Posed 3D Objects Dataset.,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Shape Retrieval of Non-Rigid 3D Human Models.,3D Mesh Unfolding via Semidefinite Programming.
Shape Retrieval of Non-Rigid 3D Human Models.,Range Scans based 3D Shape Retrieval.
Quantitative Comparison of Hole Filling Methods for 3D Object Search.,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,RGB-D Object-to-CAD Retrieval.
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Bag of Compact HKS-based Feature Descriptors.,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Bag of Compact HKS-based Feature Descriptors.,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Bag of Compact HKS-based Feature Descriptors.,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Bag of Compact HKS-based Feature Descriptors.,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
3D Object Retrieval with Multimodal Views.,Stencil codes on a vector length agnostic architecture.
3D Object Retrieval with Multimodal Views.,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
3D Object Retrieval with Parametric Templates.,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
3D Object Retrieval with Parametric Templates.,Range Scans based 3D Shape Retrieval.
3D Object Retrieval with Parametric Templates.,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
3D Object Retrieval with Parametric Templates.,An Edit Distance for Reeb Graphs.
3D Object Retrieval with Parametric Templates.,3D Object Retrieval with Multimodal Views.
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Completion of Cultural Heritage Objects with Rotational Symmetry.
Morphological Analysis of 3D Faces for Weight Gain Assessment.,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Morphological Analysis of 3D Faces for Weight Gain Assessment.,Non-rigid 3D Shape Retrieval.
Range Scans based 3D Shape Retrieval.,Protein Shape Retrieval.
Range Scans based 3D Shape Retrieval.,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Range Scans based 3D Shape Retrieval.,Large Scale Comprehensive 3D Shape Retrieval.
Range Scans based 3D Shape Retrieval.,Deformable Shape Retrieval with Missing Parts.
Range Scans based 3D Shape Retrieval.,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,Human detection from still depth images.
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,GMOD - a dynamic GPU memory overflow detector.
Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.,Towards an Observer-oriented Theory of Shape Comparison.
Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.,Secure High Capacity Data Hiding for 3d Meshes.
Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.,3D Object Retrieval with Multimodal Views.
RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.,Towards an Observer-oriented Theory of Shape Comparison.
RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.,Efficient Filling of Disparity Holes Using Resolution Decoupling.
RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Non-rigid 3D Shape Retrieval.,2D Scene Sketch-Based 3D Scene Retrieval.
Non-rigid 3D Shape Retrieval.,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Non-rigid 3D Shape Retrieval.,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Non-rigid 3D Shape Retrieval.,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
ThOR - Three-dimensional Object Retrieval Library.,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
ThOR - Three-dimensional Object Retrieval Library.,RGB-D Object-to-CAD Retrieval.
ThOR - Three-dimensional Object Retrieval Library.,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
ThOR - Three-dimensional Object Retrieval Library.,The Canonically Posed 3D Objects Dataset.
ThOR - Three-dimensional Object Retrieval Library.,Secure High Capacity Data Hiding for 3d Meshes.
Retrieval of Objects Captured with Kinect One Camera.,An Evaluation of Local Feature Encodings for Shape Retrieval.
Retrieval of Objects Captured with Kinect One Camera.,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Retrieval of Objects Captured with Kinect One Camera.,Completion of Cultural Heritage Objects with Rotational Symmetry.
Retrieval of Objects Captured with Kinect One Camera.,Depth Estimation Algorithm for Color Coded Aperture Camera.
Retrieval of Objects Captured with Kinect One Camera.,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Canonical Forms for Non-Rigid 3D Shape Retrieval.,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.,Point Cloud Compression using Depth Maps.
Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.,Shape Retrieval of Low-Cost RGB-D Captures.
Scalability of Non-Rigid 3D Shape Retrieval.,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Scalability of Non-Rigid 3D Shape Retrieval.,Energy-Efficient Wireless Sensing for Level Set Estimations.
Scalability of Non-Rigid 3D Shape Retrieval.,Maximizing system utilization via parallelism management for co-located parallel applications.
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,3D shape template generation from RGB-D images capturing a moving and deforming object.
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,High productivity thermal compression bonding for 3D-IC.
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.,Retrieval and Classification on Textured 3D Models.
Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.,Cost effective speculation with the omnipredictor.
3D Sketch-Based 3D Shape Retrieval.,Shape Retrieval and 3D Gestural Interaction.
3D Sketch-Based 3D Shape Retrieval.,Architectural support for convolutional neural networks on modern CPUs.
3D Sketch-Based 3D Shape Retrieval.,Maximizing system utilization via parallelism management for co-located parallel applications.
3D Sketch-Based 3D Shape Retrieval.,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
3D Sketch-Based 3D Shape Retrieval.,Scalability of Non-Rigid 3D Shape Retrieval.
An Edit Distance for Reeb Graphs.,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
An Edit Distance for Reeb Graphs.,3D integration - Applications and market trends.
An Edit Distance for Reeb Graphs.,GMOD - a dynamic GPU memory overflow detector.
An Edit Distance for Reeb Graphs.,Towards Recognizing of 3D Models Using A Single Image.
An Edit Distance for Reeb Graphs.,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
3D Objects Exploration - Guidelines for Future Research.,Directed Curvature Histograms for Robotic Grasping.
