title,hasCited
3D Objects Exploration - Guidelines for Future Research.,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
3D Objects Exploration - Guidelines for Future Research.,Retrieval of Gray Patterns Depicted on 3D Models.
3D Objects Exploration - Guidelines for Future Research.,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
3D Objects Exploration - Guidelines for Future Research.,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Partial Matching of Deformable Shapes.,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.,Depth Assisted Composition of Synthetic and Real 3D Scenes.
A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.,Bag of Compact HKS-based Feature Descriptors.
A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
An Experimental Shape Matching Approach for Protein Docking.,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
An Experimental Shape Matching Approach for Protein Docking.,Point-Cloud Shape Retrieval of Non-Rigid Toys.
An Experimental Shape Matching Approach for Protein Docking.,Blue noise Sampling of surfaces from stereoscopic images.
An Experimental Shape Matching Approach for Protein Docking.,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
An Experimental Shape Matching Approach for Protein Docking.,Compiler assisted coalescing.
Towards an Observer-oriented Theory of Shape Comparison.,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Towards an Observer-oriented Theory of Shape Comparison.,Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.
3D Object Retrieval with Multimodal Views.,Copper micro and nano particles mixture for 3D interconnections application.
3D Object Retrieval with Multimodal Views.,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
3D Object Retrieval with Multimodal Views.,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
3D Object Retrieval with Multimodal Views.,Bag of Compact HKS-based Feature Descriptors.
Shape Retrieval and 3D Gestural Interaction.,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Retrieval of Human Subjects from Depth Sensor Data.,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Retrieval of Human Subjects from Depth Sensor Data.,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Matching of Deformable Shapes with Topological Noise.,3D Volume Matching for Mesh Animation of Moving Actors.
Matching of Deformable Shapes with Topological Noise.,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Matching of Deformable Shapes with Topological Noise.,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Matching of Deformable Shapes with Topological Noise.,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Shape Retrieval of Low-Cost RGB-D Captures.,Computing in 3D.
Partial Shape Queries for 3D Object Retrieval.,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Directed Curvature Histograms for Robotic Grasping.
An Evaluation of Local Feature Encodings for Shape Retrieval.,ThOR - Three-dimensional Object Retrieval Library.
Retrieval of Surfaces with Similar Relief Patterns.,Partial Shape Queries for 3D Object Retrieval.
Retrieval of Surfaces with Similar Relief Patterns.,An Experimental Shape Matching Approach for Protein Docking.
Retrieval of Surfaces with Similar Relief Patterns.,High productivity thermal compression bonding for 3D-IC.
Retrieval of Surfaces with Similar Relief Patterns.,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.,Retrieval of Objects Captured with Kinect One Camera.
Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.,An Edit Distance for Reeb Graphs.
Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.,Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.
A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.,Architectural support for convolutional neural networks on modern CPUs.
A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
RGB-D to CAD Retrieval with ObjectNN Dataset.,3D system integration research at IMEC.
RGB-D to CAD Retrieval with ObjectNN Dataset.,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
RGB-D to CAD Retrieval with ObjectNN Dataset.,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
RGB-D to CAD Retrieval with ObjectNN Dataset.,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
RGB-D to CAD Retrieval with ObjectNN Dataset.,EAR - ECC-aided refresh reduction through 2-D zero compression.
Semantic Correspondence Across 3D Models for Example-based Modeling.,High productivity thermal compression bonding for 3D-IC.
Semantic Correspondence Across 3D Models for Example-based Modeling.,VW-SLP - auto-vectorization with adaptive vector width.
Semantic Correspondence Across 3D Models for Example-based Modeling.,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Energy-Efficient Big Data Analytics in Datacenters.
Point-Cloud Shape Retrieval of Non-Rigid Toys.,An Experimental Shape Matching Approach for Protein Docking.
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Range Scans based 3D Shape Retrieval.
3D Mesh Unfolding via Semidefinite Programming.,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
3D Mesh Unfolding via Semidefinite Programming.,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
3D Mesh Unfolding via Semidefinite Programming.,Engineering commitment-based business protocols with the 2CL methodology.
3D Mesh Unfolding via Semidefinite Programming.,3D Object Retrieval with Multimodal Views.
3D Mesh Unfolding via Semidefinite Programming.,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.,3D Object Retrieval with Multimodal Views.
GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Towards Recognizing of 3D Models Using A Single Image.,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Towards Recognizing of 3D Models Using A Single Image.,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Towards Recognizing of 3D Models Using A Single Image.,2D Scene Sketch-Based 3D Scene Retrieval.
Towards Recognizing of 3D Models Using A Single Image.,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Towards Recognizing of 3D Models Using A Single Image.,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Deformable Shape Retrieval with Missing Parts.,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Deformable Shape Retrieval with Missing Parts.,"A portable, automatic data qantizer for deep neural networks."
Deformable Shape Retrieval with Missing Parts.,Completion of Cultural Heritage Objects with Rotational Symmetry.
Deformable Shape Retrieval with Missing Parts.,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Deformable Shape Retrieval with Missing Parts.,An Edit Distance for Reeb Graphs.
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,An Experimental Shape Matching Approach for Protein Docking.
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
Directed Curvature Histograms for Robotic Grasping.,Energy-Efficient Big Data Analytics in Datacenters.
Directed Curvature Histograms for Robotic Grasping.,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Directed Curvature Histograms for Robotic Grasping.,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Directed Curvature Histograms for Robotic Grasping.,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Directed Curvature Histograms for Robotic Grasping.,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.,Partial Shape Queries for 3D Object Retrieval.
Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,3D Volume Matching for Mesh Animation of Moving Actors.
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,Automatic annotation of tasks in structured code.
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,ThOR - Three-dimensional Object Retrieval Library.
Protein Shape Retrieval.,Protein Shape Retrieval.
Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.,Shape Retrieval of Low-Cost RGB-D Captures.
LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
2D Image-Based 3D Scene Retrieval.,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
2D Image-Based 3D Scene Retrieval.,The Canonically Posed 3D Objects Dataset.
2D Image-Based 3D Scene Retrieval.,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.,An Experimental Shape Matching Approach for Protein Docking.
Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Recognition of Geometric Patterns Over 3D Models.,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Recognition of Geometric Patterns Over 3D Models.,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Recognition of Geometric Patterns Over 3D Models.,2D Image-Based 3D Scene Retrieval.
Recognition of Geometric Patterns Over 3D Models.,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Recognition of Geometric Patterns Over 3D Models.,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
Experimental Similarity Assessment for a Collection of Fragmented Artifacts.,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Experimental Similarity Assessment for a Collection of Fragmented Artifacts.,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Experimental Similarity Assessment for a Collection of Fragmented Artifacts.,3D shape template generation from RGB-D images capturing a moving and deforming object.
Experimental Similarity Assessment for a Collection of Fragmented Artifacts.,Shape Retrieval of Low-Cost RGB-D Captures.
Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.,Cost-driven thread coarsening for GPU kernels.
Protein Shape Retrieval.,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Protein Shape Retrieval.,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Protein Shape Retrieval.,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Protein Shape Retrieval.,Towards an Observer-oriented Theory of Shape Comparison.
Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.,Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.
Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.,Non-uniform resampling in perspective compensated large scale 3D visualization.
Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.,3D shape template generation from RGB-D images capturing a moving and deforming object.
Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.,High productivity thermal compression bonding for 3D-IC.
Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.,Protein Shape Retrieval.
RGB-D Object-to-CAD Retrieval.,Towards an Observer-oriented Theory of Shape Comparison.
RGB-D Object-to-CAD Retrieval.,Depth Assisted Composition of Synthetic and Real 3D Scenes.
RGB-D Object-to-CAD Retrieval.,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Completion of Cultural Heritage Objects with Rotational Symmetry.,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Completion of Cultural Heritage Objects with Rotational Symmetry.,Energy-Efficient Wireless Sensing for Level Set Estimations.
Edge-based LBP Description of Surfaces with Colorimetric Patterns.,Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.
Edge-based LBP Description of Surfaces with Colorimetric Patterns.,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Edge-based LBP Description of Surfaces with Colorimetric Patterns.,An Evaluation of Local Feature Encodings for Shape Retrieval.
Edge-based LBP Description of Surfaces with Colorimetric Patterns.,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
Edge-based LBP Description of Surfaces with Colorimetric Patterns.,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Retrieval of Gray Patterns Depicted on 3D Models.,Protein Shape Retrieval.
Retrieval of Gray Patterns Depicted on 3D Models.,Markerless Motion Capture with Multi-view Structured Light.
Performing Image-like Convolution on Triangular Meshes.,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
2D Scene Sketch-Based 3D Scene Retrieval.,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
2D Scene Sketch-Based 3D Scene Retrieval.,3D Mesh Unfolding via Semidefinite Programming.
2D Scene Sketch-Based 3D Scene Retrieval.,Canonical Forms for Non-Rigid 3D Shape Retrieval.
2D Scene Sketch-Based 3D Scene Retrieval.,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Point Cloud Compression using Depth Maps.,Large Scale Comprehensive 3D Shape Retrieval.
Point Cloud Compression using Depth Maps.,RGB-D Object-to-CAD Retrieval.
Point Cloud Compression using Depth Maps.,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Point Cloud Compression using Depth Maps.,Biased reference counting - minimizing atomic operations in garbage collection.
Point Cloud Compression using Depth Maps.,Engineering commitment-based business protocols with the 2CL methodology.
Human detection from still depth images.,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Human detection from still depth images.,The Canonically Posed 3D Objects Dataset.
Depth Assisted Composition of Synthetic and Real 3D Scenes.,An Experimental Shape Matching Approach for Protein Docking.
Depth Assisted Composition of Synthetic and Real 3D Scenes.,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Markerless Motion Capture with Multi-view Structured Light.,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Markerless Motion Capture with Multi-view Structured Light.,Shape Retrieval of Low-Cost RGB-D Captures.
Markerless Motion Capture with Multi-view Structured Light.,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Structural internal deterioration detection with motion vector field image analysis using monocular camera.,VW-SLP - auto-vectorization with adaptive vector width.
Structural internal deterioration detection with motion vector field image analysis using monocular camera.,Transactional pre-abort handlers in hardware transactional memory.
Structural internal deterioration detection with motion vector field image analysis using monocular camera.,Non-rigid 3D Shape Retrieval.
Secure High Capacity Data Hiding for 3d Meshes.,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Secure High Capacity Data Hiding for 3d Meshes.,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Secure High Capacity Data Hiding for 3d Meshes.,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.,Depth Estimation Algorithm for Color Coded Aperture Camera.
3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.,Automatic Location of Landmarks used in Manual Anthropometry.
Mobile version of Digital Image Correlation for deformation measurements of engineering objects.,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Mobile version of Digital Image Correlation for deformation measurements of engineering objects.,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Mobile version of Digital Image Correlation for deformation measurements of engineering objects.,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.,3D Volume Matching for Mesh Animation of Moving Actors.
Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.,Temporal Ensemble of Shape Functions.
Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Depth Estimation Algorithm for Color Coded Aperture Camera.,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
Blue noise Sampling of surfaces from stereoscopic images.,Shape Retrieval of Low-Cost RGB-D Captures.
Blue noise Sampling of surfaces from stereoscopic images.,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Blue noise Sampling of surfaces from stereoscopic images.,Engineering commitment-based business protocols with the 2CL methodology.
Non-uniform resampling in perspective compensated large scale 3D visualization.,Energy-Efficient Wireless Sensing for Level Set Estimations.
Non-uniform resampling in perspective compensated large scale 3D visualization.,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Shadow Detection on 3D Point Cloud.,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Shadow Detection on 3D Point Cloud.,Completion of Cultural Heritage Objects with Rotational Symmetry.
Shadow Detection on 3D Point Cloud.,Non-uniform resampling in perspective compensated large scale 3D visualization.
Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation.",Human detection from still depth images.
"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation.",PhiGARo - Automatic Phishing Detection and Incident Response Framework.
"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation.",Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation.",Energy-Efficient Wireless Sensing for Level Set Estimations.
"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation.",Semantic Correspondence Across 3D Models for Example-based Modeling.
Efficient Filling of Disparity Holes Using Resolution Decoupling.,Protein Shape Retrieval.
Efficient Filling of Disparity Holes Using Resolution Decoupling.,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Efficient Filling of Disparity Holes Using Resolution Decoupling.,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
3D shape template generation from RGB-D images capturing a moving and deforming object.,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
3D shape template generation from RGB-D images capturing a moving and deforming object.,Energy-Efficient Big Data Analytics in Datacenters.
